"year","trial_group","trial_block","trial","variety","variety_tag","identifier","replicate","sample","is_check","plot_number","partner_id","partner_location_id","date_planting","date_harvest","date_vinekill","breeder_merit_score","field_merit","field_comments","yield_total","specific_gravity","vine_maturity","tuber_flesh_color","tuber_shape","tuber_appearance","tuber_defects","tuber_flesh_oxidation","tuber_heat_sprouts","yield_no1","yield_total_cwt","yield_no1_percent","size_b","size_a","oversize","pickouts","hollow_heart","vascular_discoloration","heat_necrosis","brown_center","black_spot_bruise","black_spot_bruise_per_tuber","plant_vigor","disease_reaction","date_processed_otf","sfa_chip_color_otf","stem_end_browning_otf","date_processed_3mo","sfa_chip_color_3mo","stem_end_browning_3mo","date_processed_6mo","sfa_chip_color_6mo","stem_end_browning_6mo","process_comments","fry_color","total_glycoalkaloids","after_cooking_darkening","color_scale","color_instrument"
"2021","NCPT","TX","2021 NCPT TX","B3381-2","","40","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","B3381-4","","41","1","1","","","","","2021-05-02","2021-09-14","","4","","","17.8","1.074","","3","2","8","buff skin, uniform size and shape, nice","","","","573","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","B3381-4","","41","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","B3388-3","","42","1","1","","","","","2021-05-02","2021-09-14","","3","","","19.3","1.08","","1","2","6","","","","","624","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","B3388-3","","42","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","2 IBS","","","","",""
"2021","NCPT","TX","2021 NCPT TX","BNC549-1","","43","1","1","","","","","2021-05-02","2021-09-14","","2","","","12.1","1.084","","1","3","6","","","","","392","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","BNC549-1","","43","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","BNC726-5","","44","1","1","","","","","2021-05-02","2021-09-14","","2","","","18.4","1.077","","1","2","8","high tuber number, uniform size and shape","","","","594","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","BNC726-5","","44","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","1 GH","","","","",""
"2021","NCPT","TX","2021 NCPT TX","BNC742-2","","45","1","1","","","","","2021-05-02","2021-09-14","","3","","","19.2","1.071","","1","3","6","","","","","621","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","BNC742-2","","45","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","BNC811-9","","46","1","1","","","","","2021-05-02","2021-09-14","","3","","","18.2","1.084","","1","3","4","scab","","","","588","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","BNC811-9","","46","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","CO12235-3W","","47","1","1","","","","","2021-05-02","2021-09-14","","3","","","17.4","1.073","","1","2","8","uniform size and shape","","","","562","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","CO12235-3W","","47","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","CO12235-3W","","47","2","1","","","","","2021-05-02","2021-09-14","","3","","","16.2","1.082","","1","2","6","very bruised, skinning","","","","523","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","CO12235-3W","","47","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","CO12293-1W","","48","1","1","","","","","2021-05-02","2021-09-14","","3","","","17.9","1.066","","1","3","6","angular, non-uniform size and shape","","","","578","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","CO12293-1W","","48","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","CO12293-1W","","48","2","1","","","","","2021-05-02","2021-09-14","","4","","","18.1","1.057","","1","2","7","smooth skin","","","","586","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","CO12293-1W","","48","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","6 Dark","","","","",""
"2021","NCPT","TX","2021 NCPT TX","CO13232-5W","","49","1","1","","","","","2021-05-02","2021-09-14","","4","","","18.4","1.067","","1","2","4","SCAB, severe scab","","","","592","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","CO13232-5W","","49","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","CO13232-5W","","49","2","1","","","","","2021-05-02","2021-09-14","","4","","","20.8","1.062","","1","2","8","uniform size and shape, shape","","","","672","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","CO13232-5W","","49","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","COA16084-2C","","50","1","1","","","","","2021-05-02","2021-09-14","","3","","","12.3","1.076","","1","2","6","green tubers","","","","398","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","COA16084-2C","","50","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","COOR13270-2","","51","1","1","","","","","2021-05-02","2021-09-14","","3","","","21.2","1.071","","1","3","6","deep bud end","","","","685","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","COOR13270-2","","51","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","COOR13270-2","","51","2","1","","","","","2021-05-02","2021-09-14","","3","","","20.7","1.067","","1","3","6","","","","","667","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","COOR13270-2","","51","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","COOR16014-3","","52","1","1","","","","","2021-05-02","2021-09-14","","3","","","23.1","1.072","","1","2","8","scab, very high tuber number, great shape, uniform size and shape, BOT","","","","746","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","COOR16014-3","","52","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","COTX16054-1Ru","","53","1","1","","","","","2021-05-02","2021-09-14","","2","","","15.8","1.069","","1","2","7","","","","","510","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","COTX16054-1Ru","","53","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","Lamoka","","54","1","1","1","","","","2021-05-02","2021-09-14","","2","","","15.2","1.078","","1","2","7","deep bud end","","","","490","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","Lamoka","","54","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","Lamoka","","54","2","1","1","","","","2021-05-02","2021-09-14","","3","","","20.3","1.081","","1","3","7","large, bruised","","","","654","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","Lamoka","","54","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","Lamoka","","54","3","1","1","","","","2021-05-02","2021-09-14","","3","","","19","1.072","","1","3","6","","","","","612","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","Lamoka","","54","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","","","","","","1 scab","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MN18AF6717-6","","55","1","1","","","","","2021-05-02","2021-09-14","","4","","","17.6","1.058","","1","2","4","very deep bud end","","","","570","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MN18AF6717-6","","55","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA076-6","","56","1","1","","","","","2021-05-02","2021-09-14","","4","","","16.6","1.074","","1","2","6","angular","","","","537","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA076-6","","56","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","","","","","","2 Dark","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA076-6","","56","2","1","","","","","2021-05-02","2021-09-14","","4","","","11.8","1.064","","1","2","5","heat sprouts, attached stolons, deep bud end","","","","379","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA076-6","","56","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","4 Dark","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA232-4","","57","1","1","","","","","2021-05-02","2021-09-14","","2","","","18.6","1.087","","1","2","7","","","","","600","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA232-4","","57","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA232-4","","57","2","1","","","","","2021-05-02","2021-09-14","","3","","","13.1","1.075","","1","3","6","","","","","424","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA232-4","","57","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA241-1","","58","1","1","","","","","2021-05-02","2021-09-14","","3","","","10.9","1.064","","1","2","6","","","","","352","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA241-1","","58","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA252-7","","59","1","1","","","","","2021-05-02","2021-09-14","","4","","","13.1","1.062","","1","2","5","non-uniform size and shape","","","","423","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA252-7","","59","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA254-4","","60","1","1","","","","","2021-05-02","2021-09-14","","4","","","14.4","1.068","","1","2","6","","","","","463","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA254-4","","60","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","2 IBS","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA266-1","","61","1","1","","","","","2021-05-02","2021-09-14","","3","","","12.4","1.061","","1","2","6","large, growth cracks","","","","402","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA266-1","","61","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA311-1","","62","1","1","","","","","2021-05-02","2021-09-14","","3","","","19.9","1.071","","1","3","6","buff skin, large ","","","","641","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA311-1","","62","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA328-4","","63","1","1","","","","","2021-05-02","2021-09-14","","4","","","15.2","1.068","","1","4","4","huge, oblong","","","","489","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA328-4","","63","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA678-1","","64","1","1","","","","","2021-05-02","2021-09-14","","3","","","18.3","1.074","","1","2","8","","","","","590","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAA678-1","","64","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAFB609-12","","65","1","1","","","","","2021-05-02","2021-09-14","","2","","","18.6","1.077","","1","2","7","scab","","","","601","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAFB609-12","","65","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAFB609-12","","65","2","1","","","","","2021-05-02","2021-09-14","","2","","","20.5","1.08","","1","2","7","high tuber number, deep bud end, smooth skin","","","","663","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAFB609-12","","65","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","1 BC","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAFB635-15","","66","1","1","","","","","2021-05-02","2021-09-14","","1","","","21.8","1.09","","1","2","8","buff skin","","","","704","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAFB635-15","","66","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAFB635-15","","66","2","1","","","","","2021-05-02","2021-09-14","","2","","","19","1.083","","1","1","8","","","","","613","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSAFB635-15","","66","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB018-1","","67","1","1","","","","","2021-05-02","2021-09-14","","3","","","15.1","1.067","","1","2","6","a little flat, angular","","","","488","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB018-1","","67","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB018-1","","67","2","1","","","","","2021-05-02","2021-09-14","","3","","","16.1","1.07","","1","2","6","very high tuber number, angular","","","","518","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB018-1","","67","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB047-1","","68","1","1","","","","","2021-05-02","2021-09-14","","1","","","21.9","1.08","","1","3","7","high tuber number, large, smooth skin","","","","706","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB047-1","","68","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB047-1","","68","2","1","","","","","2021-05-02","2021-09-14","","4","","","23.5","1.061","","1","2","6","high tuber number, large","","","","758","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB047-1","","68","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB051-1","","69","1","1","","","","","2021-05-02","2021-09-14","","4","","","13.2","1.057","","1","2","3","SCAB or necrotic PVY?","","","","426","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB051-1","","69","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB058-1","","70","1","1","","","","","2021-05-02","2021-09-14","","2","","","16.3","1.082","","1","2","7","","","","","527","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB058-1","","70","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1 color","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB058-1","","70","2","1","","","","","2021-05-02","2021-09-14","","3","","","14.2","1.084","","1","2","7","deep bud end","","","","459","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB058-1","","70","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","3 IBS","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB060-1","","71","1","1","","","","","2021-05-02","2021-09-14","","4","","","18.2","1.058","","1","2","6","attached stolons","","","","586","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB060-1","","71","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","2 Dark","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB079-2","","72","1","1","","","","","2021-05-02","2021-09-14","","2","","","18.6","1.074","","1","2","8","BOT, uniform size and shape","","","","599","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB079-2","","72","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB079-2","","72","2","1","","","","","2021-05-02","2021-09-14","","2","","","19.6","1.072","","1","2","6","deep bud end","","","","633","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB079-2","","72","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB094-1","","73","1","1","","","","","2021-05-02","2021-09-14","","3","","","15.8","1.078","","1","3","6","","","","","510","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB094-1","","73","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB121-1","","74","1","1","","","","","2021-05-02","2021-09-14","","3","","","20.2","1.072","","1","2","6","buff skin, deep bud end","","","","653","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB121-1","","74","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","1 IBS","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB131-1","","75","1","1","","","","","2021-05-02","2021-09-14","","4","","","18.5","1.063","","3","2","6","very large, deep bud end","","","","597","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB131-1","","75","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","","","","","","","2 Dark","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB179-1","","76","1","1","","","","","2021-05-02","2021-09-14","","3","","","17.3","1.066","","1","2","6","buff skin, alligator skin, flat","","","","558","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB179-1","","76","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB210-A","","77","1","1","","","","","2021-05-02","2021-09-14","","4","","","13.3","1.06","","1","1","5","non-uniform size, large and small","","","","430","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB210-A","","77","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","2 dark","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB222-1","","78","1","1","","","","","2021-05-02","2021-09-14","","2","","","15.2","1.075","","2","2","7","buff skin","","","","490","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB222-1","","78","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB222-1","","78","2","1","","","","","2021-05-02","2021-09-14","","2","","","12.2","1.066","","1","2","6","","","","","393","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB222-1","","78","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB230-2","","79","1","1","","","","","2021-05-02","2021-09-14","","3","","","22.7","1.06","","1","2","8","BOT, uniform size and shape","","","","731","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB230-2","","79","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB230-2","","79","2","1","","","","","2021-05-02","2021-09-14","","2","","","22.1","1.062","","1","2","8","very high tuber number, BOT","","","","712","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB230-2","","79","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB610-13","","80","1","1","","","","","2021-05-02","2021-09-14","","4","","","15.8","1.065","","1","3","6","huge, large tubers are oval to oblong","","","","510","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB610-13","","80","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","9 Dark","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB610-13","","80","2","1","","","","","2021-05-02","2021-09-14","","4","","","13.9","1.071","","1","3","5","very large","","","","448","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB610-13","","80","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB614-11","","81","1","1","","","","","2021-05-02","2021-09-14","","3","","","14.3","1.077","","1","2","8","uniform size and shape, russet skin","","","","460","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB614-11","","81","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB615-1","","82","1","1","","","","","2021-05-02","2021-09-14","","4","","","10.9","1.058","","1","3","5","flat","","","","353","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB615-1","","82","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB617-2","","83","1","1","","","","","2021-05-02","2021-09-14","","4","","","17.1","1.074","","1","4","4","oblong, huge, deep eyes","","","","551","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB617-2","","83","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB617-2","","83","2","1","","","","","2021-05-02","2021-09-14","","4","","","14.2","1.063","","1","2","5","small tubers are round, large are oblong, deep eyes","","","","457","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB617-2","","83","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","","","","","","4 IBS","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB618-2","","84","1","1","","","","","2021-05-02","2021-09-14","","4","","","14.9","1.058","","1","2","7","russet, large","","","","480","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB618-2","","84","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB636-11","","85","1","1","","","","","2021-05-02","2021-09-14","","4","","","15.8","1.069","","1","3","4","large, KNOBS","","","","512","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB636-11","","85","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB637-6","","86","1","1","","","","","2021-05-02","2021-09-14","","3","","","16.3","1.067","","1","3","5","buff skin, non-uniform size and shape","","","","526","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSBB637-6","","86","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSCC012-1","","87","1","1","","","","","2021-05-02","2021-09-14","","3","","","22.6","1.063","","1","2","8","BOT, nice size and shape","","","","730","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","TX","2021 NCPT TX","MSCC012-1","","87","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","1 HH","","","","",""
