"year","trial_group","trial_block","trial","variety","variety_tag","identifier","replicate","sample","is_check","partner_id","partner_location_id","plot_number","block","breeder_merit_score","date_planting","seed_pieces_planted","seed_observations","date_vinekill","date_harvest","date_gathered","plant_stand","final_emergence","roguing_notes","vine_maturity","verticillium_wilt","specific_gravity","undersize_yield","small_yield","mid_yield","oversize_yield","cull_tuber_defects","calc_nfpt_total_yield","calc_nfpt_mkt_yield","calc_nfpt_mkt_undersize_yield","calc_nfpt_mkt_4oz_yield","calc_nfpt_mkt_6oz_yield","calc_nfpt_mkt_10oz_yield","calc_nfpt_mkt_cull_yield","calc_nfpt_mkt_total_yield","tuber_length","tuber_width","tuber_depth","tuber_shape","tuber_flesh_color","tuber_appearance","tuber_defects","field_observations","total_weight","growth_crack","greening","defect_green","powdery_scab","common_scab","scab","shatter_bruise","internal_brown_spot","vascular_discoloration","harvest_comments","total_glycoalkaloids","fry_color","internal_tuber_defects","external_tuber_defects","comments"
"2015","NFPT","ND","2015 NFPT ND","AOR07781-5","","","","2","","","","","2","4","2015-04-25 00:00:00","60","","","2015-09-24 00:00:00","","","","","0","","1.096","28.5","30.8","99.4","273.7","113.3","545.6","403.8","0.07","0.93","0.86","0.63","0.21","0.74","","","","4","","4","points, yams","; needs longer season than we have","545.56","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AW06108-1rus","","1","1","1","","","","","1","2","2015-04-06","18","","","2015-09-14","","","","","9","","1.075","98.3","117.2","256.6","575","139.6","1186.7","948.8","0.09","0.91","0.79","0.55","0.12","0.8","","","","3","1","7","knobs/malformed/green","","1187","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AW06108-1rus","","1","2","1","","","","","2","2","2015-04-06","18","","","2015-09-14","","","","","8","","1.075","100.4","130.8","332.3","564.9","64.1","1192.5","1028","0.09","0.91","0.8","0.5","0.05","0.86","","","","3","1","7","knobs/green","","1192","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AW07773-1rus","","2","1","1","","","","","1","2","2015-04-06","18","","","2015-09-14","","","","","8","","1.078","41.1","60.9","166.6","452.6","14.7","735.9","680.1","0.06","0.94","0.86","0.63","0.02","0.92","","","","3","1","7","rot/green","","736","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AW07773-1rus","","2","2","1","","","","","2","2","2015-04-06","18","","","2015-09-14","","","","","5","","1.078","58.5","48.7","162.8","375.2","9.1","654.3","586.7","0.09","0.91","0.83","0.58","0.01","0.9","","","","3","1","7","green","","654","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AW07781-1rus","","3","1","1","","","","","1","3","2015-04-06","18","","","2015-09-14","","","","","5","","1.096","91.4","107.5","223.5","230.6","15.2","668.2","561.6","0.14","0.86","0.7","0.35","0.02","0.84","","","","1","1","7","rot/green","","668","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AW07781-1rus","","3","2","1","","","","","2","3","2015-04-06","18","","","2015-09-14","","","","","5","","1.096","112.1","141.1","235.6","223","20","731.8","599.7","0.16","0.84","0.64","0.31","0.03","0.82","","","","2","1","7","green","","732","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AW07791-2rus","","4","1","1","","","","","1","2","2015-04-06","18","","","2015-09-14","","","","","9","","1.089","95.6","187","345.2","436.2","7.3","1071.3","968.4","0.09","0.91","0.73","0.41","0.01","0.9","","","","3","1","5","green","","1071","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AW07791-2rus","","4","2","1","","","","","2","2","2015-04-06","18","","","2015-09-14","","","","","8","","1.089","119.5","152.1","313","394.2","18","996.8","859.3","0.12","0.88","0.72","0.4","0.02","0.86","","","","3","1","5","green","","997","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","CW08071-2RUS","","5","1","1","","","","","1","3","2015-04-06","18","","","2015-09-14","","","","","5","","1.066","68.2","93.2","239.2","587.9","32.1","1020.6","920.3","0.07","0.93","0.84","0.59","0.03","0.9","","","","2","1","7","green","","1021","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","CW08071-2RUS","","5","2","1","","","","","2","3","2015-04-06","18","","","2015-09-14","","","","","4","","1.066","82.3","128.8","225","368.9","22.1","827.1","722.7","0.1","0.9","0.74","0.46","0.03","0.87","","","","2","1","7","green","","827","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","W10039-2rus","","6","1","1","","","","","1","3","2015-04-06","18","","","2015-09-14","","","","","8","","1.084","71.5","98.1","267.9","343.8","14.3","795.6","709.8","0.09","0.91","0.78","0.44","0.02","0.89","","","","2","1","4","green","","796","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","W10039-2rus","","6","2","1","","","","","2","3","2015-04-06","18","","","2015-09-14","","","","","7","","1.084","43.2","72","234.6","544.1","72.8","966.7","850.7","0.05","0.95","0.87","0.61","0.08","0.88","","","","2","1","4","cracks/green","","967","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","W10074-3rus","","8","1","1","","","","","1","3","2015-04-06","18","","","2015-09-14","","","","","6","","1.07","55.2","60.9","152.3","589.7","24","882.1","802.9","0.06","0.94","0.86","0.69","0.03","0.91","","","","4","1","2","green/cracks","","882","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","W10074-3rus","","8","2","1","","","","","2","3","2015-04-06","18","","","2015-09-14","","","","","4","","1.07","34","30.5","145.3","546.2","114.7","870.7","722","0.04","0.96","0.91","0.72","0.13","0.83","","","","4","1","2","malformed/cracks","","871","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","W10074-8rus","","9","1","1","","","","","1","4","2015-04-06","18","","","2015-09-14","","","","","9","","1.085","57.6","92.9","253","510","8.3","921.8","855.9","0.06","0.94","0.84","0.56","0.01","0.93","","","","2","1","2","green","","922","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","W10074-8rus","","9","2","1","","","","","2","4","2015-04-06","18","","","2015-09-14","","","","","8","","1.085","57.3","47.9","258.9","587.5","32.7","984.3","894.3","0.06","0.94","0.89","0.62","0.03","0.91","","","","2","1","2","green","","984","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","W10074-16rus","","10","1","1","","","","","1","2","2015-04-06","18","","","2015-09-14","","","","","6","","1.078","50.5","76.8","173.9","403","49.7","753.9","653.7","0.07","0.93","0.82","0.57","0.07","0.87","","","","3","1","2","green/knobs","","754","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","W10074-16rus","","10","2","1","","","","","2","2","2015-04-06","18","","","2015-09-14","","","","","3","","1.078","36.3","38","123.3","641.3","122.3","961.2","802.6","0.04","0.96","0.91","0.76","0.13","0.83","","","","3","1","2","rot/green","","961","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","W9742-3rus","","11","1","1","","","","","1","2","2015-04-06","18","","","2015-09-14","","","","","8","","1.091","29.9","53.9","222","356.8","11.4","674","632.7","0.05","0.95","0.87","0.54","0.02","0.94","","","","3","1","6","green","","674","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","W9742-3rus","","11","2","1","","","","","2","2","2015-04-06","18","","","2015-09-14","","","","","5","","1.091","34.5","59.3","204.9","518.1","23.9","840.7","782.3","0.04","0.96","0.89","0.63","0.03","0.93","","","","3","1","6","cracks/green","","841","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","W9850-5rus","","12","1","1","","","","","1","3","2015-04-06","18","","","2015-09-14","","","","","8","","1.088","45.7","90.3","186.3","572.2","26.3","920.8","848.8","0.05","0.95","0.85","0.64","0.03","0.92","","","","3","1","4","cracks/rot/green","","921","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","W9850-5rus","","12","2","1","","","","","2","3","2015-04-06","18","","","2015-09-14","","","","","8","","1.088","68.7","75","148.5","644.3","43.5","980","867.8","0.07","0.93","0.85","0.69","0.04","0.89","","","","3","1","4","cracks/knobs/green","","980","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","Easton","","13","1","1","","","","","1","2","2015-04-06","18","","","2015-09-14","","","","","8","","1.074","66.2","64.6","180.8","474.5","42.2","828.3","719.9","0.08","0.92","0.83","0.6","0.05","0.87","","","","3","1","5","rot/cracks/green","","828","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","Easton","","13","2","1","","","","","2","2","2015-04-06","18","","","2015-09-14","","","","","9","","1.074","53.1","77.1","203.1","793","30.7","1157","1073.2","0.05","0.95","0.88","0.7","0.03","0.93","","","","4","1","5","rot/cracks/green","","1157","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF4296-3Rus","","14","1","1","","","","","1","2","2015-04-06","18","","","2015-09-14","","","","","4","","1.081","22.8","11.6","118.9","750.4","32.9","936.6","880.9","0.03","0.97","0.96","0.83","0.04","0.94","","","","3","1","5","knobs/green","","937","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF4296-3Rus","","14","2","1","","","","","2","2","2015-04-06","18","","","2015-09-14","","","","","2","","1.081","76.8","123","177.3","271.3","24.4","672.8","571.6","0.12","0.88","0.69","0.42","0.04","0.85","","","","3","1","5","green","","673","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF4342-3Rus","","15","1","1","","","","","1","2","2015-04-06","18","","","2015-09-14","","","","","8","","1.094","19.7","17.5","155.5","718.2","42.1","953","891.2","0.02","0.98","0.96","0.79","0.04","0.94","","","","3","1","2","green","","953","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF4342-3Rus","","15","2","1","","","","","2","2","2015-04-06","18","","","2015-09-14","","","","","8","","1.094","21.1","43.5","160","588.5","34.4","847.5","792","0.03","0.97","0.92","0.72","0.04","0.93","","","","3","1","2","knobs/green","","847","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF4609-1Rus","","16","1","1","","","","","1","3","2015-04-06","18","","","2015-09-14","","","","","7","","1.072","40.8","76.3","249.4","445.1","89.3","900.9","770.8","0.05","0.95","0.86","0.55","0.1","0.86","","","","3","1","2","cracks/rot/green","","901","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF4609-1Rus","","16","2","1","","","","","2","3","2015-04-06","18","","","2015-09-14","","","","","3","","1.072","59.3","53.7","307.1","327.2","66.1","813.4","688","0.08","0.92","0.85","0.44","0.08","0.85","","","","3","1","2","rot/cracks/green/knobs","","813","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF4872-2Rus","","17","1","1","","","","","1","4","2015-04-06","18","","","2015-09-14","","","","","3","","1.079","68.3","72.4","184.7","226","17.5","568.9","483.1","0.12","0.88","0.74","0.41","0.03","0.85","","","","2","1","3","green","","569","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF4872-2Rus","","17","2","1","","","","","2","4","2015-04-06","18","","","2015-09-14","","","","","3","","1.079","95","63.6","186.5","234.5","19.8","599.4","484.6","0.16","0.84","0.73","0.4","0.03","0.81","","","","2","1","4","green","","599","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF4950-2","","18","1","1","","","","","1","4","2015-04-06","18","","","2015-09-14","","","","","8","","1.073","71.2","114","181.9","634.7","182.7","1184.5","930.6","0.07","0.93","0.82","0.63","0.15","0.79","","","","3","1","2","knobs/green","Bad skin cracking","1184","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF4950-2","","18","2","1","","","","","2","4","2015-04-06","18","","","2015-09-14","","","","","8","","1.073","40.6","88.8","201.9","308.2","99.3","738.8","598.9","0.06","0.94","0.8","0.48","0.13","0.81","","","","3","1","2","malformed/green","","739","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF4953-6","","19","1","1","","","","","1","3","2015-04-06","18","","","2015-09-14","","","","","8","","1.077","40.9","78.1","216.6","410.9","21.1","767.6","705.6","0.05","0.95","0.84","0.55","0.03","0.92","","","","2","1","6","rot/green","","768","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF4953-6","","19","2","1","","","","","2","3","2015-04-06","18","","","2015-09-14","","","","","6","","1.077","44.1","69.9","160.3","367.4","38","679.7","597.6","0.07","0.93","0.82","0.57","0.06","0.88","","","","2","1","6","rot/knobs/green","","680","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF5060-27Rus","","20","1","1","","","","","1","3","2015-04-06","18","","","2015-09-14","","","","","4","","1.066","21.5","29.1","65.8","564.5","43.6","724.5","659.4","0.03","0.97","0.93","0.83","0.06","0.91","","","","3","1","6","rot/green","","724","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF5060-27Rus","","20","2","1","","","","","2","3","2015-04-06","18","","","2015-09-14","","","","","5","","1.066","35.1","38.9","73.4","530.1","50.9","728.4","642.4","0.05","0.95","0.89","0.78","0.07","0.88","","","","3","1","6","rot/green","","728","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF5072-4Rus","","21","1","1","","","","","1","4","2015-04-06","18","","","2015-09-14","","","","","1","","1.075","33.5","80.8","183.2","92.1","42.8","432.4","356.1","0.09","0.91","0.71","0.24","0.1","0.82","","","","3","1","7","cracks/green","","432","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF5072-4Rus","","21","2","1","","","","","2","4","2015-04-06","18","","","2015-09-14","","","","","1","","1.075","62.1","68.4","142.1","179.1","25.8","477.5","389.6","0.14","0.86","0.71","0.4","0.05","0.82","","","","3","1","7","rot/cracks","","478","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF5091-2","","22","1","1","","","","","1","4","2015-04-06","18","","","2015-09-14","","","","","1","","1.067","111.2","71.8","39.6","22","11.2","255.8","133.4","0.45","0.55","0.25","0.09","0.04","0.52","","","","3","1","3","rot/cracks/green","","256","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF5091-2","","22","2","1","","","","","2","4","2015-04-06","18","","","2015-09-14","","","","","1","","1.067","51.9","63.9","166.3","369.7","17.7","669.5","599.9","0.08","0.92","0.82","0.57","0.03","0.9","","","","3","1","3","green","","670","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF5091-8RUS","","23","1","1","","","","","1","4","2015-04-06","18","","","2015-09-14","","","","","2","","1.062","117.8","67.4","94.9","156","4.1","440.2","318.3","0.27","0.73","0.58","0.36","0.01","0.72","","","","3","1","6","green","","440","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF5091-8RUS","","23","2","1","","","","","2","4","2015-04-06","18","","","2015-09-14","","","","","1","","1.062","57.5","74.9","182.8","288.8","19.6","623.6","546.5","0.1","0.9","0.78","0.48","0.03","0.88","","","","3","1","6","green","","624","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF5164-19Rus","","24","1","1","","","","","1","4","2015-04-06","18","","","2015-09-14","","","","","6","","1.066","86.4","69.1","140.1","196.2","128.4","620.2","405.4","0.18","0.82","0.68","0.4","0.21","0.65","","","","2","1","5","rot/cracks/green","","620","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF5164-19Rus","","24","2","1","","","","","2","4","2015-04-06","18","","","2015-09-14","","","","","1","","1.066","128.4","122.7","101.8","63.6","34.9","451.4","288.1","0.31","0.69","0.4","0.15","0.08","0.64","","","","2","1","5","rot/cracks/green","","451","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF5179-4","","25","1","1","","","","","1","2","2015-04-06","18","","","2015-09-14","","","","","8","","1.091","31.6","56.3","173.5","569.7","48.7","879.8","799.5","0.04","0.96","0.89","0.69","0.06","0.91","","","","4","1","6","knobs/green","","880","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF5179-4","","25","2","1","","","","","2","2","2015-04-06","18","","","2015-09-14","","","","","8","","1.091","40.6","38.4","99.4","635.6","73.2","887.2","773.4","0.05","0.95","0.9","0.78","0.08","0.87","","","","4","1","6","knobs/green","","887","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF5202-1Rus","","26","1","1","","","","","1","4","2015-04-06","18","","","2015-09-14","","","","","5","","1.064","121.3","93.3","146.4","118.5","43.6","523.1","358.2","0.25","0.75","0.55","0.25","0.08","0.68","","","","2","1","2","cracks/green","","523","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF5202-1Rus","","26","2","1","","","","","2","4","2015-04-06","18","","","2015-09-14","","","","","5","","1.064","91.3","153.4","175.1","121.9","56.7","598.4","450.4","0.17","0.83","0.55","0.23","0.09","0.75","","","","2","1","2","rot/cracks/green","","598","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF5312-1RUS","","27","1","1","","","","","1","4","2015-04-06","18","","","2015-09-14","","","","","4","","1.07","83.5","123.1","295.9","150.2","11.4","664.1","569.2","0.13","0.87","0.68","0.23","0.02","0.86","","","","3","1","6","green","","664","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AF5312-1RUS","","27","2","1","","","","","2","4","2015-04-06","18","","","2015-09-14","","","","","4","","1.07","139.2","113.3","164.7","105.1","9.9","532.2","383.1","0.27","0.73","0.52","0.2","0.02","0.72","","","","3","1","6","green","","532","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AO03123-2Rus","","28","1","1","","","","","1","2","2015-04-06","18","","","2015-09-14","","","","","8","","1.09","62.5","104.5","166.7","206.1","24.6","564.4","477.3","0.12","0.88","0.69","0.38","0.04","0.85","","","","3","1","7","green","Visually 3rd best of show","564","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AO03123-2Rus","","28","2","1","","","","","2","2","2015-04-06","18","","","2015-09-14","","","","","6","","1.09","83.5","98.2","289.9","344.1","22.5","838.2","732.2","0.1","0.9","0.78","0.42","0.03","0.87","","","","3","1","8","rot/green","","838","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","Rainier Russet","","29","1","1","","","","","1","1","2015-04-06","18","","","2015-09-14","","","","","5","","1.082","10.5","38.1","101.2","533.5","51.3","734.6","672.8","0.02","0.98","0.93","0.78","0.07","0.92","","","","3","1","9","green","Visually 2nd best of show","735","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","Rainier Russet","","29","2","1","","","","","2","1","2015-04-06","18","","","2015-09-14","","","","","5","","1.082","11.1","6.9","79.8","540.2","37.4","675.4","626.9","0.02","0.98","0.97","0.85","0.06","0.93","","","","3","1","9","cracks/green","","675","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","Echo Russet","","30","1","1","","","","","1","2","2015-04-06","18","","","2015-09-14","","","","","6","","1.088","60.5","114.5","342.5","476.4","54.8","1048.7","933.4","0.06","0.94","0.82","0.48","0.05","0.89","","","","4","1","5","rot/green","","1049","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","Echo Russet","","30","2","1","","","","","2","2","2015-04-06","18","","","2015-09-14","","","","","2","","1.088","88.2","147.8","275.2","284.9","46.2","842.3","707.9","0.11","0.89","0.7","0.36","0.05","0.84","","","","4","1","5","rot/green","","842","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AOR06070-1KFRus","","31","1","1","","","","","1","3","2015-04-06","18","","","2015-09-14","","","","","8","","1.086","71.5","86.3","131.1","574.9","55.4","919.2","792.3","0.08","0.92","0.82","0.67","0.06","0.86","","","","3","1","5","rot/green","","919","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AOR06070-1KFRus","","31","2","1","","","","","2","3","2015-04-06","18","","","2015-09-14","","","","","6","","1.086","42.9","77.5","164","396.1","35.1","715.6","637.6","0.06","0.94","0.82","0.58","0.05","0.89","","","","3","1","5","green","","716","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AOR07781-5","","32","1","1","","","","","1","2","2015-04-06","18","","","2015-09-14","","","","","5","","1.082","51.2","93.4","236.3","469.2","6.3","856.4","798.9","0.06","0.94","0.83","0.55","0.01","0.93","","","","3","1","6","green","","856","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AOR07781-5","","32","2","1","","","","","2","2","2015-04-06","18","","","2015-09-14","","","","","4","","1.082","49.5","96.5","224","652.4","9.7","1032.1","972.9","0.05","0.95","0.86","0.64","0.01","0.94","","","","3","1","7","green","","1032","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AOR07821-1Rus","","33","1","1","","","","","1","2","2015-04-06","18","","","2015-09-14","","","","","9","","1.082","52.5","62","157.2","655.6","12.5","939.8","874.8","0.06","0.94","0.88","0.71","0.01","0.93","","","","3","1","5","green","","940","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AOR07821-1Rus","","33","2","1","","","","","2","2","2015-04-06","18","","","2015-09-14","","","","","8","","1.082","65","73.8","224","645.1","80","1087.9","942.9","0.06","0.94","0.86","0.64","0.07","0.87","","","","3","1","5","knobs/green","","1088","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AOR08032-1","","34","1","1","","","","","1","3","2015-04-06","18","","","2015-09-14","","","","","6","","1.078","82.7","155.1","371.2","274.8","23.8","907.6","801.1","0.09","0.91","0.73","0.31","0.03","0.88","","","","3","1","7","green","","908","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","AOR08032-1","","34","2","1","","","","","2","3","2015-04-06","18","","","2015-09-14","","","","","6","","1.078","140.1","148.1","154.9","120.6","5.9","569.6","423.6","0.25","0.75","0.49","0.21","0.01","0.74","","","","3","1","7","green","","570","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","OR08OP284-2","","35","1","1","","","","","1","2","2015-04-06","18","","","2015-09-14","","","","","9","","1.082","81.8","103.1","270.8","271.9","18.8","746.4","645.8","0.11","0.89","0.75","0.37","0.03","0.87","","","","4","1","6","cracks/green","","746","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","OR08OP284-2","","35","2","1","","","","","2","2","2015-04-06","18","","","2015-09-14","","","","","8","","1.082","56.7","87.3","311.9","616.4","15.3","1087.6","1015.6","0.05","0.95","0.87","0.57","0.01","0.93","","","","4","1","6","green","","1088","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","Castle Russet","","36","1","1","","","","","1","2","2015-04-06","18","","","2015-09-14","","","","","7","","1.093","65.4","122.1","186.3","352.9","9","735.7","661.3","0.09","0.91","0.74","0.49","0.01","0.9","","","","3","1","9","green","Visually best of show","736","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","Castle Russet","","36","2","1","","","","","2","2","2015-04-06","18","","","2015-09-14","","","","","6","","1.093","94.5","119.5","203.5","362.8","8.5","788.8","685.8","0.12","0.88","0.73","0.46","0.01","0.87","","","","3","1","9","green","","789","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","A02449-100Rus","","37","1","1","","","","","1","3","2015-04-06","18","","","2015-09-14","","","","","2","","1.074","73.7","103.3","225.1","299.7","119.8","821.6","628.1","0.11","0.89","0.75","0.43","0.15","0.76","","","","3","1","6","cracks/rot/green","","822","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","A02449-100Rus","","37","2","1","","","","","2","3","2015-04-06","18","","","2015-09-14","","","","","1","","1.074","60.6","44.8","184.9","356.3","127.1","773.7","586","0.09","0.91","0.84","0.55","0.16","0.76","","","","3","1","6","cracks/green","","774","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","Payette Russet","","38","1","1","","","","","1","3","2015-04-06","18","","","2015-09-14","","","","","9","","1.082","46.5","100.7","302.5","288.7","4.4","742.8","691.9","0.06","0.94","0.8","0.39","0.01","0.93","","","","2","1","7","green","","743","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","Payette Russet","","38","2","1","","","","","2","3","2015-04-06","18","","","2015-09-14","","","","","8","","1.082","55.4","112.3","273.8","314.3","31.5","787.3","700.4","0.07","0.93","0.78","0.42","0.04","0.89","","","","2","1","7","cracks/green","","787","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","A03141-6RU","","39","1","1","","","","","1","2","2015-04-06","18","","","2015-09-14","","","","","7","","1.086","53.4","93.9","282.1","311","13","753.4","687","0.07","0.93","0.8","0.42","0.02","0.91","","","","3","1","8","green","","753","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","A03141-6RU","","39","2","1","","","","","2","2","2015-04-06","18","","","2015-09-14","","","","","5","","1.086","67.1","109.8","204.9","232.4","4.3","618.5","547.1","0.11","0.89","0.71","0.38","0.01","0.88","","","","3","1","8","green","","619","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","Mountain Gem","","40","1","1","","","","","1","3","2015-04-06","18","","","2015-09-14","","","","","6","","1.075","50.3","62.7","208.2","324.1","7.7","653","595","0.08","0.92","0.82","0.5","0.01","0.91","","","","3","1","7","rot/green","","653","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","Mountain Gem","","40","2","1","","","","","2","3","2015-04-06","18","","","2015-09-14","","","","","8","","1.075","55.2","61.1","142.4","498.6","0","757.3","702.1","0.07","0.93","0.85","0.66","0","0.93","","","","3","1","7","none","","757","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","A03921-2","","41","1","1","","","","","1","2","2015-04-06","18","","","2015-09-14","","","","","8","","1.097","39.8","57.3","71.3","525.7","195.9","890","654.3","0.06","0.94","0.86","0.76","0.22","0.74","","","","3","1","6","cracks/knobs/rot/green","","890","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","A03921-2","","41","2","1","","","","","2","2","2015-04-06","18","","","2015-09-14","","","","","8","","1.097","33.3","48.5","169.9","550","164","965.7","768.4","0.04","0.96","0.9","0.69","0.17","0.8","","","","3","1","6","cracks/knobs/green","","966","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","A06021-1","","42","1","1","","","","","1","3","2015-04-06","18","","","2015-09-14","","","","","2","","1.079","37.9","32.4","178.6","449.2","92.8","790.9","660.2","0.05","0.95","0.9","0.64","0.12","0.83","","","","3","1","8","green","","791","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","A06021-1","","42","2","1","","","","","2","3","2015-04-06","18","","","2015-09-14","","","","","2","","1.079","49","111.6","256.9","198","12.3","627.8","566.5","0.08","0.92","0.74","0.32","0.02","0.9","","","","3","1","8","green","","628","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","A06084-1TE","","43","1","1","","","","","1","3","2015-04-06","18","","","2015-09-14","","","","","4","","1.083","66.2","89.8","193.6","125.6","22.1","497.3","409","0.14","0.86","0.67","0.26","0.04","0.82","","","","3","1","8","cracks/green","","497","","","","","","","","","","","","","","",""
"2015","NFPT","WA","2015 NFPT WA","A06084-1TE","","43","2","1","","","","","2","3","2015-04-06","18","","","2015-09-14","","","","","3","","1.083","53.1","100.7","265.8","255.7","20.7","696","622.2","0.08","0.92","0.77","0.38","0.03","0.89","","","","3","1","8","green","","696","","","","","","","","","","","","","","",""
